id	Stato	Regione	Provincia	Comune	value
B105	Italia	Lombardia	Monza e della Brianza	Bovisio-Masciago	9409
B110	Italia	Lombardia	Mantova	Bozzolo	2177
B120	Italia	Lombardia	Brescia	Brandico	795
B126	Italia	Lombardia	Varese	Brebbia	1426
B129	Italia	Lombardia	Cremona	Castelverde	3094
B134	Italia	Lombardia	Como	Bregnano	2652
B137	Italia	Lombardia	Bergamo	Brembate	4448
B138	Italia	Lombardia	Bergamo	Brembate di Sopra	2844
B140	Italia	Lombardia	Bergamo	Brembilla	1274
B141	Italia	Lombardia	Lodi	Brembio	1421
B144	Italia	Lombardia	Como	Brenna	632
B149	Italia	Lombardia	Brescia	Breno	2410
B150	Italia	Lombardia	Varese	Brenta	935
B157	Italia	Lombardia	Brescia	Brescia	143750
B159	Italia	Lombardia	Pavia	Bressana Bottarone	1743
B162	Italia	Lombardia	Milano	Bresso	15527
B178	Italia	Lombardia	Bergamo	Brignano Gera d'Adda	2958
B187	Italia	Lombardia	Monza e della Brianza	Briosco	2055
B194	Italia	Lombardia	Lecco	Brivio	1974
B201	Italia	Lombardia	Pavia	Broni	5671
B212	Italia	Lombardia	Monza e della Brianza	Brugherio	17290
